code,name_short,gender,function,country_code,country,nationality,height,weight,disciplines,events,birth_date,occupation,coach,influence,ritual,cluster
1967762,PEERS J,Male,Athlete,AUS,Australia,Australia,191,0.0,['Tennis'],"[""Men's Doubles""]",,,Personal: David Collins (GBR),,,2
1967767,EBDEN M,Male,Athlete,AUS,Australia,Australia,188,0.0,['Tennis'],"[""Men's Doubles"", ""Men's Singles"", 'Mixed Doubles']",,,,,,2
1967770,GADECKI O,Female,Athlete,AUS,Australia,Australia,183,0.0,['Tennis'],"[""Women's Doubles"", ""Women's Singles""]",,,Right,,,2
1967772,HIJIKATA R,Male,Athlete,AUS,Australia,Australia,177,0.0,['Tennis'],"[""Men's Singles""]",,,Personal: Mark Draper (AUS),,,2
1968003,DELGADO A,Female,Athlete,ECU,Ecuador,Ecuador,0,0.0,['Swimming'],"[""Women's 50m Freestyle""]",,"Athlete, student",Club: Lea Maurer,Her father,,0
1968005,SHAH A,Male,Athlete,NEP,Nepal,Nepal,0,0.0,['Swimming'],"[""Men's 100m Freestyle""]",,Student,Club: Tom Wilkens,,,0
1968010,PERIBONIO AVILA T,Male,Athlete,ECU,Ecuador,Ecuador,0,0.0,['Swimming'],"[""Men's 200m Individual Medley""]",,Athlete,,,,0
1968020,DAHAL P,Male,Athlete,NEP,Nepal,Nepal,172,0.0,['Badminton'],"[""Men's Singles""]",,,,"His father, who played badminton at regional level",,2
1968035,SHABALINA E,Female,Athlete,KAZ,Kazakhstan,Kazakhstan,0,0.0,['Triathlon'],"[""Women's Individual""]",,Athlete,National: Maxim Kriat (KAZ).<br>Personal (husband) Ivan Tutukin (KAZ).<br>Personal: Murat Aubakirov (KAZ),,,2
1968068,LIMA B,Male,Athlete,SAM,Samoa,Samoa,190,92.0,['Rugby Sevens'],['Men'],,Athlete,"National: Brian Lima (SAM), father",,,2
